社名,電話番号,所在地,代表者,事業内容,企業URL,URL,取得日時
Hairmakepocoapoco,0743-74-5077,,,,https://pocoapoco-hair.com/,https://baitona-joshi.jp/shop/002694/,2025/08/04/10:17
社会福祉法人宝山寺福祉事業団いこまこども園,0743-73-2474,,,,https://www.ikomakodomoen-hozanji.com/%E9%A3%9F%E4%BA%8B%E3%81%AE%E3%81%93%E3%81%A8,https://baitona-joshi.jp/shop/002695/,2025/08/04/10:17
株式会社みょんみょん,0257-32-1045,新潟県上越市木田1丁目8-17上越ＯＳビル1Ｆ,宮村竜士,美容室の経営,https://myon-myon.com/about/,https://baitona-joshi.jp/shop/002696/,2025/08/04/10:17
ライクキッズ株式会社,,東京都渋谷区道玄坂１－１２－１渋谷マークシティ１７階,岡本泰彦,,https://www.like-kd.co.jp/outline/about.html,https://baitona-joshi.jp/shop/002697/,2025/08/04/10:17
カッパ・クリエイト株式会社,0257-20-1088,神奈川県横浜市西区みなとみらい2-2-1ランドマークタワー12階,山角豪,1.飲食店（回転すし）の経営2.食料品の加工及び販売,https://www.kappa-create.co.jp/company/profile.html,https://baitona-joshi.jp/shop/002699/,2025/08/04/10:17
有限会社ル・クール,0257-41-6696,新潟県長岡市中沢3-355-62階,山際武彦,,https://www.lecoeur-hair.com/company/,https://baitona-joshi.jp/shop/002700/,2025/08/04/10:17
株式会社アクアコンバージョン,0257-41-5709,,,,,https://baitona-joshi.jp/shop/002702/,2025/08/04/10:17
いけべ耳鼻咽喉科医院,0973-28-8733,,,,,https://baitona-joshi.jp/shop/002703/,2025/08/04/10:17
城谷病院,0494-22-1010,,,,,https://baitona-joshi.jp/shop/002704/,2025/08/04/10:17
株式会社想夫恋,0973-24-6280,大分県日田市南友田110-5,角弘起,食品製造、販売、卸、フードサービスの経営及び設計、立地調査、管理教育、指導。,https://sofuren.com/,https://baitona-joshi.jp/shop/002705/,2025/08/04/10:17
株式会社ジョイフル,0973-25-6007,大分県大分市三川新町一丁目1番45号,穴見くるみ,ファミリーレストラン「ジョイフル」のチェーン展開,https://www.joyfull.co.jp/company/profile/,https://baitona-joshi.jp/shop/002706/,2025/08/04/10:17
髙田歯科醫院,042-555-5903,,,,,https://baitona-joshi.jp/shop/002707/,2025/08/04/10:17
高木歯科医院,0973-22-2317,,,,,https://baitona-joshi.jp/shop/002708/,2025/08/04/10:17
株式会社anemone,0973-28-5853,東京都渋谷区渋谷2-14-5渋谷クリエ3Ｆ,松本平,,https://anemone-salon.com/,https://baitona-joshi.jp/shop/002709/,2025/08/04/10:17
資生堂プロフェッショナル株式会社,0973-24-0633,東京都品川区東品川2-2-8スフィアタワー天王洲14階,ロラン・マルタン,,https://www.shiseido-professional.com/ja/about-us,https://baitona-joshi.jp/shop/002710/,2025/08/04/10:17
学校法人香光学園月隈こども園,0973-22-7611,,,,https://www.tukikuma.net/,https://baitona-joshi.jp/shop/002711/,2025/08/04/10:17
みのり保育園,0973-24-2012,,,,,https://baitona-joshi.jp/shop/002712/,2025/08/04/10:17
株式会社リビアス,0120-983-033,大阪府大阪市淀川区西中島1-11-34新大阪サンアールビル7号館2階,大西昌宏,理容・美容・エステサロン・アイラッシュサロン・ネイルサロンの経営・経営サポート・フランチャイズビジネス・人材紹介業,https://www.ribias.net/company.php,https://baitona-joshi.jp/shop/002713/,2025/08/04/10:17
株式会社Casetta,06-6387-4640,大阪府吹田市片山町1-10-22-1F,藤野慎司,ヘアサロン・アイラッシュサロンの経営,https://casetta.jp/company/,https://baitona-joshi.jp/shop/002714/,2025/08/04/10:17
株式会社はあと,070-9101-6560,京都府京都市下京区鍵屋町347-6,小原麻央,ネイルサロン・美容製品開発及び販売・フランチャイズ運営,https://heartnail.jp/,https://baitona-joshi.jp/shop/002715/,2025/08/04/10:17
株式会社ヴィラ,06-6380-4530,広島県呉市広本町1-13-1タクミビル5F,谷規正,・リラクゼーションサロンの運営・経営・フランチャイズ業・リラクゼーションサロンコンサルティング業・エステ事業・FC本部構築事業（フランチャイズ展開本部構築）・セラピスト養成スクール事業,https://www.asian-relaxation-villa.com/company/,https://baitona-joshi.jp/shop/002716/,2025/08/04/10:17
医療法人峠整形外科,06-6330-5241,,,,https://toge-seikei.jp/,https://baitona-joshi.jp/shop/002717/,2025/08/04/10:17
新井歯科医院,06-6384-9088,,,,,https://baitona-joshi.jp/shop/002719/,2025/08/04/10:17
Anthurium,06-6318-9562,,,,,https://baitona-joshi.jp/shop/002720/,2025/08/04/10:17
株式会社あみ,06-7410-5631,,井川和憲,介護事業保育事業障がい福祉事業,https://ami-class.com/company/,https://baitona-joshi.jp/shop/002721/,2025/08/04/10:17
合同会社幸照,06-6310-1580,大阪府吹田市泉町5-1-38,,,https://www.with-ac.com/shisetu/suita/,https://baitona-joshi.jp/shop/002722/,2025/08/04/10:17
Miele,072-744-3337,,,,,https://baitona-joshi.jp/shop/002723/,2025/08/04/10:17
株式会社ジェイエムダブル,072-751-4866,大阪府池田市栄本町11番12号,竹歳守,理容室、美容室チェーン、FC本部,https://jmwg.jp/company/,https://baitona-joshi.jp/shop/002724/,2025/08/04/10:17
韓国肌管理毛穴洗浄専門店WHITELABO川西,072-776-4077,,,,,https://baitona-joshi.jp/shop/002725/,2025/08/04/10:17
愛らいふサービス株式会社,072-752-5155,大阪府池田市鉢塚3-11-15,小林正典,,https://ailife-service.com/company/,https://baitona-joshi.jp/shop/002726/,2025/08/04/10:17
うしむら歯科クリニック,072-750-0707,,,,,https://baitona-joshi.jp/shop/002728/,2025/08/04/10:17
山片矯正歯科,072-754-1091,,,,https://www.y-kyousei.com/,https://baitona-joshi.jp/shop/002729/,2025/08/04/10:17
株式会社R&Aホールディングス,072-750-0033,,今村義仁,美容業・その他サービス業,https://randa-hd.com/about,https://baitona-joshi.jp/shop/002730/,2025/08/04/10:17
株式会社美容室しまだ,072-752-5688,大阪府大阪市中央区淡路町４‐３‐５ＦＰＧｌｉｎｋｓＭＩＤＯＳＵＪＩ１１Ｆ,,ヘアサロンの経営、美容関連商品の販売,https://doche-stage.com/company/,https://baitona-joshi.jp/shop/002731/,2025/08/04/10:17
学校法人平成医療学園宝塚医療大学附属保育園,072-757-1616,,,,https://heisei-iryo.com/,https://baitona-joshi.jp/shop/002732/,2025/08/04/10:17
株式会社CS,070-3153-9708,草加市氷川町2127-13ケイユ―ビル5階C,逸見貞治,,https://cs-sa.jp/company/,https://baitona-joshi.jp/shop/002733/,2025/08/04/10:17
株式会社癒しの手,0480-44-8760,奈良県生駒市小明町1335-23階,宮崎順也,リラクゼーションサロンの運営、鍼灸整骨院の運営、フランチャイズの運営,https://iyashi-te.net/#section03,https://baitona-joshi.jp/shop/002734/,2025/08/04/10:17
株式会社ラヴァンヤ,0480-23-4357,,,,https://lavanya-beauty.com/,https://baitona-joshi.jp/shop/002735/,2025/08/04/10:17
久喜センター,0480-35-6005,,,,,https://baitona-joshi.jp/shop/002736/,2025/08/04/10:17
久喜耳鼻咽喉科,0480-23-6272,,,,https://www.kukijibiinkouka.com/,https://baitona-joshi.jp/shop/002737/,2025/08/04/10:17
株式会社サンマルクホールディングス,0480-53-8309,岡山県岡山市北区平田173番地104,藤川祐樹,フランチャイズチェーンシステムを含むレストラン及びカフェ等の事業を行う子会社の経営管理等,https://www.saint-marc-hd.com/hd/company_info/ci/,https://baitona-joshi.jp/shop/002738/,2025/08/04/10:17
本町歯科診療所,0480-23-5510,,,,,https://baitona-joshi.jp/shop/002739/,2025/08/04/10:17
久喜おやこ歯科なのはな,0480-29-4182,,,,https://kuki-nanohana.com/,https://baitona-joshi.jp/shop/002740/,2025/08/04/10:17
株式会社AB&Company,0480-53-5088,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/002741/,2025/08/04/10:17
株式会社リップル,0480-21-3535,埼玉県久喜市本町5-6-27-2F,深井俊宏,美容室の経営,https://www.gingaweb.co.jp/,https://baitona-joshi.jp/shop/002742/,2025/08/04/10:17
アンドシェア株式会社,048-772-7233,埼玉県草加市高砂2-19-4伊勢屋ビル２階,,,https://and-share.co.jp/posts/bqTy2rN7,https://baitona-joshi.jp/shop/002743/,2025/08/04/10:17
Loverystal,080-1074-0430,,,,,https://baitona-joshi.jp/shop/002744/,2025/08/04/10:17
株式会社マツキヨココカラ＆カンパニー,048-775-7661,東京都文京区湯島1丁目8番2号MK御茶ノ水ビル7階,松本清雄,,https://www.matsukiyococokara.com/company/info/,https://baitona-joshi.jp/shop/002745/,2025/08/04/10:17
ALPHANAILS,048-774-7800,,,,,https://baitona-joshi.jp/shop/002746/,2025/08/04/10:17
カバーヘアグループ,048-783-2622,埼玉県さいたま市浦和区北浦和4-1-5HYビル5階,谷本一典,,https://www.cover-s.jp/contact/,https://baitona-joshi.jp/shop/002747/,2025/08/04/10:17
おおたけ眼科上尾医院,048-729-6257,,,,,https://baitona-joshi.jp/shop/002748/,2025/08/04/10:17
株式会社レコードブック,048-788-1633,東京都千代田区二番町11-19興和二番町ビル2階,林岳史,レコードブック事業（リハビリ型通所介護、フランチャイズ運営）等,https://www.recordbook.jp/company/,https://baitona-joshi.jp/shop/002749/,2025/08/04/10:17
チムニー株式会社,048-789-0005,東京都墨田区両国3丁目22-6雷電ビル6F・7F・8F,茨田篤司,,https://www.chimney.co.jp/company/profile/,https://baitona-joshi.jp/shop/002750/,2025/08/04/10:17
杉山歯科,048-771-8049,,,,https://sdc-ageo.com/,https://baitona-joshi.jp/shop/002751/,2025/08/04/10:17
社会福祉法人みずほ育伸会,048-776-3240,,,,https://mizuho-ikushinkai.com/,https://baitona-joshi.jp/shop/002752/,2025/08/04/10:17
株式会社MAQUIA,0749-21-5180,東京都新宿区西新宿6-15-1セントラルパークタワー・ラ・トゥール新宿509号室,日比野洋平,,https://e-maquia.jp/company.html,https://baitona-joshi.jp/shop/002753/,2025/08/04/10:17
株式会社カーブスジャパン,0749-21-4001,東京都港区芝浦3-9-1芝浦ルネサイトタワー11F,坂本眞樹,「女性だけの健康体操教室カーブス」の国内フランチャイズ本部事業,https://www.curves.co.jp/company/,https://baitona-joshi.jp/shop/002754/,2025/08/04/10:17
株式会社CasaInnovations,0570-003-383,東京都新宿区神楽坂6-67マイナビ不動産ビル神楽坂7階,岩崎大起,ヘアカラー専門店の運営,https://casacolor.jp/company/,https://baitona-joshi.jp/shop/002755/,2025/08/04/10:17
ソシオークホールディングス株式会社,0749-26-5033,東京都港区芝四丁目13-3PMO田町Ⅱ10F,大隈太嘉志,,https://www.socioak.com/company/outline/,https://baitona-joshi.jp/shop/002756/,2025/08/04/10:17
株式会社アジアル,0749-30-0588,愛知県名古屋市中区栄五丁目11番14号,浅野一,,https://www.ajial.jp/corp.html,https://baitona-joshi.jp/shop/002757/,2025/08/04/10:17
くら寿司株式会社,0749-21-6100,大阪府堺市中区深阪1-2-2,田中邦彦,,https://www.kurasushi.co.jp/company/company/aboutus.php,https://baitona-joshi.jp/shop/002758/,2025/08/04/10:17
株式会社あきんどスシロー,0749-30-3211,大阪府吹田市江坂町１丁目22番6号,新居耕平,すしレストランの経営,https://www.akindo-sushiro.co.jp/company/profile.php,https://baitona-joshi.jp/shop/002759/,2025/08/04/10:17
ヒコネ矯正歯科,0749-21-3351,,,,,https://baitona-joshi.jp/shop/002760/,2025/08/04/10:17
株式会社AB&Company,0749-47-3138,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/002761/,2025/08/04/10:17
BEETHAIR,0749-49-2766,,,,,https://baitona-joshi.jp/shop/002762/,2025/08/04/10:17
eyelashsalonRey,099-272-9606,,,,,https://baitona-joshi.jp/shop/002763/,2025/08/04/10:17
mimilly,080-1727-0638,,,,,https://baitona-joshi.jp/shop/002764/,2025/08/04/10:17
株式会社St.Belle.Co,,福岡県福岡市中央区赤坂1-14-37マルビル1F,古賀英敏,美容室・エステサロンの運営,https://sourire-hair.info/company/,https://baitona-joshi.jp/shop/002765/,2025/08/04/10:17
医療法人仁愛会﨑元病院,099-224-5650,,,,https://jinaikai.com/sakimoto/,https://baitona-joshi.jp/shop/002766/,2025/08/04/10:17
株式会社天文館むじゃき,099-256-4690,鹿児島県鹿児島市千日町5街区8号,,"1,飲食業2,氷菓販売･卸売",https://mujyaki.co.jp/company,https://baitona-joshi.jp/shop/002767/,2025/08/04/10:17
株式会社寿福産業,096-321-6576,鹿児島市荒田1-61-13,寿福大祐,外食産業、麺類製造販売,https://www.jf-group.co.jp/company/,https://baitona-joshi.jp/shop/002768/,2025/08/04/10:17
なでしこ歯科,0120-407-045,,,,http://www4.synapse.ne.jp/nadeshiko/,https://baitona-joshi.jp/shop/002769/,2025/08/04/10:17
株式会社AB&Company,03-5981-9569,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/002770/,2025/08/04/10:17
社会福祉法人慈孝会,099-204-4811,鹿児島県鹿児島市吉野町5652-1,四元孝英,,https://www.jikoukai.ed.jp/about.html,https://baitona-joshi.jp/shop/002771/,2025/08/04/10:17
社会福祉法人敬天福祉会,099-222-5377,鹿児島県鹿児島市城山二丁目３６番１号,日高真琴,,https://kosodate-web.com/shiroyama-hoikuen/profile.php,https://baitona-joshi.jp/shop/002772/,2025/08/04/10:17
株式会社シアーズ,03-6277-5858,東京都千代田区神田三崎町２丁目２−１４BRICKGATE水道橋８F,後藤駿,人材派遣業コンサート・イベント運営農業,https://thearts.co.jp/,https://baitona-joshi.jp/shop/002773/,2025/08/04/10:17
株式会社ONEFORALL,0996-29-3925,福岡県大野城市中3丁目1-40,十亀誠治,,https://www.musashi-recruit.com/company/,https://baitona-joshi.jp/shop/002774/,2025/08/04/10:17
医療法人大誠会,0996-23-3291,,,,,https://baitona-joshi.jp/shop/002775/,2025/08/04/10:17
株式会社ジョイフル,0996-27-1216,大分県大分市三川新町一丁目1番45号,穴見くるみ,ファミリーレストラン「ジョイフル」のチェーン展開,https://www.joyfull.co.jp/company/profile/,https://baitona-joshi.jp/shop/002776/,2025/08/04/10:17
株式会社ジョリーパスタ,0996-22-3373,東京都品川区東品川2丁目2-20天王洲オーシャンスクエア8階,南哲史,各種レストランのナショナルチェーンの展開と経営,https://www.jolly-pasta.co.jp/corporate/,https://baitona-joshi.jp/shop/002777/,2025/08/04/10:17
株式会社はま寿司,0570-001-926,東京都港区港南2-18-1JR品川イーストビル,町野岳,回転寿司チェーンの経営,https://www.hama-sushi.co.jp/company/,https://baitona-joshi.jp/shop/002778/,2025/08/04/10:17
ぎんや歯科医院,0996-22-4100,,,,,https://baitona-joshi.jp/shop/002779/,2025/08/04/10:17
株式会社AB&Company,0996-24-8556,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/002780/,2025/08/04/10:17
さつま川内こども園,0996-29-5101,,,,https://seiryu-fukushikai.myportfolio.com/information,https://baitona-joshi.jp/shop/002782/,2025/08/04/10:17
株式会社Blanc,042-767-1163,大阪市淀川区西中島5丁目12番8号エス・ティ・エスビル17F,山下晴之,アイラッシュサロン事業およびフランチャイズ本部事業アイラッシュスクール事業商品開発事業人財コンサルティング/店舗コンサルティング,https://www.blanc-group.co.jp/,https://baitona-joshi.jp/shop/002783/,2025/08/04/10:17
株式会社サンメディカル,042-767-5404,神奈川県厚木市中町2-1-1KSビル3F,小野良太郎,在宅事業(サン介護マッサージ、サンケアサービス)外来事業(サンリラクゼーション)FC事業、コンサルティング事業,https://sunmedical.biz/aboutus/,https://baitona-joshi.jp/shop/002784/,2025/08/04/10:17
株式会社ティエヌ,070-3893-0999,東京都中央区日本橋小網町8番2号THEHUB日本橋茅場町6-07,鵜飼えりか,ネイルサロン直営店、フランチャイズ本部の経営ネイルスクールの経営ネイリスト派遣事業サロン向け経営サポート事業取引,https://www.tn-nail.net/company_tn-n/,https://baitona-joshi.jp/shop/002785/,2025/08/04/10:17
相模大野南口あおクリニック,042-749-0011,,,,https://aoclinic.jp/,https://baitona-joshi.jp/shop/002786/,2025/08/04/10:17
わたせ耳鼻咽喉科,042-794-7682,,,,https://www.watase-ent.jp/,https://baitona-joshi.jp/shop/002787/,2025/08/04/10:17
有限会社萬金,042-746-5855,神奈川県相模原市南区相南4-1-7,関正二郎,,https://www.mankingyoza.com/low,https://baitona-joshi.jp/shop/002788/,2025/08/04/10:17
女子大前歯科,042-747-8456,,,,https://www.renyu-kai.com/clinic/j-shika.html,https://baitona-joshi.jp/shop/002789/,2025/08/04/10:17
株式会社DanG,042-705-7440,神奈川県大和市下鶴間1804-7,徳元淳,,https://www.dang-inc.net/salon.php,https://baitona-joshi.jp/shop/002790/,2025/08/04/10:17
ル・ジャルダングループ,042-702-6477,神奈川県相模原市中央区中央4-12-6,,,https://www.ljd.jp/company,https://baitona-joshi.jp/shop/002791/,2025/08/04/10:17
ワンダフルデイ,042-851-6321,,,,,https://baitona-joshi.jp/shop/002792/,2025/08/04/10:17
株式会社Liy,045-299-5848,,,,,https://baitona-joshi.jp/shop/002793/,2025/08/04/10:17
日本快適生活株式会社,045-642-7453,,,,https://nail-impress.com/index.html,https://baitona-joshi.jp/shop/002794/,2025/08/04/10:17
株式会社オリエンタルヘア,045-716-8083,神奈川県横浜市鶴見区鶴見中央4-15-12,,,https://oriental-hair.com/rosso/shops/,https://baitona-joshi.jp/shop/002795/,2025/08/04/10:17
wairoomSpa個室サウナ,045-947-2828,,,,https://wairoom-spa.com/,https://baitona-joshi.jp/shop/002796/,2025/08/04/10:17
形成・美容外科エムズクリニック,045-508-1112,,,,https://msclinic-beauty.net/about-us/,https://baitona-joshi.jp/shop/002797/,2025/08/04/10:17
C-United株式会社,045-505-3837,東京都港区芝大門2丁目10番12号KDX芝大門ビル1階・9階,友成勇樹,カフェチェーンの経営（直営店及びフランチャイズ店舗）/物販事業/食材卸売事業,https://c-united.co.jp/crie/,https://baitona-joshi.jp/shop/002799/,2025/08/04/10:17
千賀デンタルクリニックシャル,,,,,https://www.senga-dc-tsurumi.com/,https://baitona-joshi.jp/shop/002800/,2025/08/04/10:17
株式会社ポピンズエデュケア,045-717-5532,東京都渋谷区広尾5丁目6番6号広尾プラザ,田村篤司,子育て支援サービス、子育て事業コンサルティング,https://www.poppins.co.jp/educare/company/profile/,https://baitona-joshi.jp/shop/002801/,2025/08/04/10:17
株式会社アジリオン,045-575-1010,東京都港区港南2-12-27イケダヤ品川ビル７F,,,http://www.tomokids.jp/tsurumi.html,https://baitona-joshi.jp/shop/002802/,2025/08/04/10:17
Ｆａｖｏｒｉ～EyelashSalon～,096-321-6114,,,,,https://baitona-joshi.jp/shop/002803/,2025/08/04/10:17
株式会社EDGE,050-8883-0286,渋谷区恵比寿西1-10-10若葉西ビル8F,,,https://edge-8-i.com/about/,https://baitona-joshi.jp/shop/002804/,2025/08/04/10:17
&302Nail,070-1945-7657,,,,,https://baitona-joshi.jp/shop/002805/,2025/08/04/10:17
医療法人社団如水会嶋田病院,096-324-3515,,,,https://www.shimada-hp.jp/,https://baitona-joshi.jp/shop/002806/,2025/08/04/10:17
サクラデンタルクリニック,096-351-2280,,,,https://inudo-orthodontic.moon.bindcloud.jp/inudou.net/index.html,https://baitona-joshi.jp/shop/002807/,2025/08/04/10:17
株式会社コドモノイルクラシ,096-322-7011,熊本市中央区辛島町6-2ペアレントビル2階,桑本陽子,熊本市小規模保育事業所A型の運営企業主導型保育事業所の運営保育業務請負事業（出張保育、イベント保育等）,https://www.pkb-kumamoto.jp/info/company/,https://baitona-joshi.jp/shop/002808/,2025/08/04/10:17
ヘアカラーFit!ＨＩヒロセ,092-732-6693,,,,,https://baitona-joshi.jp/shop/002809/,2025/08/04/10:17
訪問看護ステーションspito-スピット-大津,,,,,,https://baitona-joshi.jp/shop/002810/,2025/08/04/10:17
株式会社りあんじゅ,096-221-3969,,坂田美和,,https://pichu.jp/company/,https://baitona-joshi.jp/shop/002811/,2025/08/04/10:17
宮本内科医院,096-293-1700,,,,https://miyamotonaika.com/,https://baitona-joshi.jp/shop/002812/,2025/08/04/10:17
医療法人社団岩倉会大津中村整形外科,096-293-8888,熊本県菊池郡大津町室532-1,石井一誠,,https://oozunakamuraseikeigeka.jimdosite.com/%E6%A6%82%E8%A6%81/,https://baitona-joshi.jp/shop/002813/,2025/08/04/10:17
浜勝株式会社,096-292-0557,長崎県長崎市鍛冶屋町6番50号,川内辰雄,「とんかつ」の専門店としての飲食店の運営,https://www.hamakatsu.jp/corporate/,https://baitona-joshi.jp/shop/002814/,2025/08/04/10:17
株式会社ジョイフル,077-547-3323,大分県大分市三川新町一丁目1番45号,穴見くるみ,ファミリーレストラン「ジョイフル」のチェーン展開,https://www.joyfull.co.jp/company/profile/,https://baitona-joshi.jp/shop/002815/,2025/08/04/10:17
白川グループ,096-293-8300,,,,https://shirakawa.ed.jp/,https://baitona-joshi.jp/shop/002816/,2025/08/04/10:17
合同会社Fy-makes,096-294-7077,熊本県菊池郡大津町室323-6,藤森保則,＜不動産事業＞不動産賃貸太陽光発電事業大型LEDビジョン広告事業＜企業主導型保育園＞未来の森保育園,https://miraino-mori.com/fy,https://baitona-joshi.jp/shop/002817/,2025/08/04/10:17
株式会社りあんじゅ,096-294-7013,,坂田美和,,https://pichu.jp/company/,https://baitona-joshi.jp/shop/002818/,2025/08/04/10:17
株式会社ネットワーク,077-572-9211,東京都台東区駒形2-1-30,山田茂,アパレル事業・飲食事業,https://www.dogdept.com/company/,https://baitona-joshi.jp/shop/002819/,2025/08/04/10:17
ギャルソンコーポレーション,077-532-1012,,田中秀明,,http://hair-jack.jp/access/index.html,https://baitona-joshi.jp/shop/002820/,2025/08/04/10:17
株式会社ヴィラ,077-526-5888,広島県呉市広本町1-13-1タクミビル5F,谷規正,・リラクゼーションサロンの運営・経営・フランチャイズ業・リラクゼーションサロンコンサルティング業・エステ事業・FC本部構築事業（フランチャイズ展開本部構築）・セラピスト養成スクール事業,https://www.asian-relaxation-villa.com/company/,https://baitona-joshi.jp/shop/002821/,2025/08/04/10:17
瀬田耳鼻咽喉科・内科,077-543-1490,,,,http://www.seta-jibika.com/,https://baitona-joshi.jp/shop/002822/,2025/08/04/10:17
しま歯科クリニック,024-991-7727,,,,,https://baitona-joshi.jp/shop/002823/,2025/08/04/10:17
瀬田グリーン歯科,077-543-3337,,北雅貴,,https://www.greendental.jp/seta/,https://baitona-joshi.jp/shop/002824/,2025/08/04/10:17
株式会社B&C,077-544-5100,,京都府京都市下京区大政所町680-1第一長谷ビル２F,,https://www.bandcrecruiting.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,https://baitona-joshi.jp/shop/002825/,2025/08/04/10:17
株式会社AB&Company,077-511-9843,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/002826/,2025/08/04/10:17
瀬田サンフレンズ保育園,077-526-5086,,,,,https://baitona-joshi.jp/shop/002827/,2025/08/04/10:17
株式会社京進,077-548-6171,京都府京都市下京区烏丸通り五条下る大坂町382-1,立木康之,,https://group.kyoshin.co.jp/corporate/outline/,https://baitona-joshi.jp/shop/002828/,2025/08/04/10:17
株式会社スタジオBM,0800-200-2259,新潟県新潟市西区五十嵐一の町6393-13,高坂文恵,振袖のレンタル・販売写真館フォトスタジオの運営,https://beauty-m.net/company/,https://baitona-joshi.jp/shop/002829/,2025/08/04/10:17
株式会社アートネイチャー,076-432-2323,東京都渋谷区代々木3-40-7,五十嵐祥剛,各種毛髪製品の製造販売増毛・育毛サービスの提供ヘアケア商品の販売,https://corp.artnature.co.jp/ja/corporation/outline.html,https://baitona-joshi.jp/shop/002830/,2025/08/04/10:17
前田薬品工業株式会社,080-5853-6224,富山県富山市向新庄町一丁目18番47号,前田大介,医薬品、医薬部外品、動物用医薬品、動物用医薬部外品、工業薬品、化学工業薬品、農業薬品、衛生材料、計量器用具及び食糧品の製造、販売、輸出及び輸入医薬部外品、健康食品、スキンケア、フレグランスなどの化粧品全般の企画、開発、製造、販売及び輸出並びに輸入医薬部外品・化粧品卸売業アパレル製品、アクセサリー及び美容用品の企画、製造、卸及び販売一般日用品雑貨の販売医療、保険、衛生用機器及び付属品の販売精油（アロマオイル）の製造・販売前各号に附帯関連する一切の事業,https://www.taroma.jp/company/,https://baitona-joshi.jp/shop/002831/,2025/08/04/10:17
ブリーズベイホテル株式会社,076-431-2211,神奈川県横浜市中区花咲町1-22-2,津田則忠,ホテル業、ホテルの買収再生業,https://breezbay-group.com/company/company.html,https://baitona-joshi.jp/shop/002833/,2025/08/04/10:17
医療法人社団みわ矯正歯科医院,076-432-4760,,角谷瞳,,https://miwa-orthodontic.com/info/,https://baitona-joshi.jp/shop/002834/,2025/08/04/10:17
おかだ歯科,076-421-5451,,,,https://www.okada-do.com/,https://baitona-joshi.jp/shop/002835/,2025/08/04/10:17
ゆいの木ココカラ,076-422-0255,,,,https://yuinoki-kokokara.net/about,https://baitona-joshi.jp/shop/002836/,2025/08/04/10:17
ＳＡＣＣＡ,080-8880-4815,,,,https://saccaland.com/contact/,https://baitona-joshi.jp/shop/002837/,2025/08/04/10:17
宗教法人カトリック・聖ヨゼフ・フランシスコ修道会,076-423-4342,富山県富山市山王町4-49,高橋和子,,https://aigo-youchien.org/about/,https://baitona-joshi.jp/shop/002838/,2025/08/04/10:17
ましもと内科呼吸器科,083-934-0077,,,,https://mashimoto-naika.com/,https://baitona-joshi.jp/shop/002839/,2025/08/04/10:17
あんの循環器内科,083-924-1151,,,,https://www.seirankai.or.jp/medical/anno/,https://baitona-joshi.jp/shop/002840/,2025/08/04/10:17
ハートホーム山口,083-933-6000,,,,https://www.seirankai.or.jp/elderly/yamaguchi/,https://baitona-joshi.jp/shop/002841/,2025/08/04/10:17
在宅医療支援センター山口訪問看護ステーション,083-924-8778,,,,https://www.seirankai.or.jp/elderly/center/,https://baitona-joshi.jp/shop/002842/,2025/08/04/10:17
KKR山口あさくら,083-922-3268,,,,https://asakura.kkr.or.jp/,https://baitona-joshi.jp/shop/002843/,2025/08/04/10:17
株式会社すかいらーくホールディングス,083-933-0225,東京都武蔵野市西久保1-25-8（三鷹第3オフィス）,金谷実,フードサービス事業全般、その他周辺事業,https://corp.skylark.co.jp/about/profile/,https://baitona-joshi.jp/shop/002844/,2025/08/04/10:17
ピアーサーティーグループ,,,高橋章之,飲食チェーン店舗の経営・運営およびFC店の管理、経営指導,https://www.pierthirty.co.jp/company.php,https://baitona-joshi.jp/shop/002845/,2025/08/04/10:17
株式会社コメダ,083-995-2028,愛知県名古屋市東区葵三丁目12番23号,甘利祐一,コーヒーショップおよびフランチャイズチェーンの経営,https://www.komeda.co.jp/company/outline.html,https://baitona-joshi.jp/shop/002846/,2025/08/04/10:17
有限会社みき美容室,083-922-5681,山口県山口市周布町２番２４号,,,,https://baitona-joshi.jp/shop/002847/,2025/08/04/10:17
